City of Origin,Destination City,Stopover City,Driving Distance (km),Vehicle Plate,Vehicle Type,Speed (km/h),Distance (km),Load Weight (tons),Fuel Consumption (L/100km),Traffic Congestion
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0113,Saloon,105.2508708689412,192.66208806580664,1.6948059364642645,10.852178812100401,High
Dar es Salaam,Kigali,,1444.0,DAR-KIG-0114,SUV,67.03849133774366,106.33360649114769,3.8994785053013996,14.303058948994627,Medium
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0115,Hybrid,52.0314836020202,127.98269121794485,0.5963134056127011,9.073799813400791,High
Dar es Salaam,Kigali,,1444.0,DAR-KIG-0116,Truck,53.449670221754886,658.2913704460317,13.103619589235738,26.828302236227017,Medium
Juba,Wau,,647.0,JUB-WAU-0117,Saloon,50.697232394486036,40.28512858247649,1.0887403346100273,10.839510677736989,Medium
Nairobi,Wau,Juba,1868.0,NAI-WAU-0118,SUV,96.00123288715822,181.24816041918646,3.932436601442899,18.601223971892047,Medium
Kigali,Butare,,125.0,KIG-BUT-0119,Truck,78.99254944466749,127.73317774385,14.805069472578289,21.573952676272622,Low
Nairobi,Tanzania,Arusha,902.0,NAI-TAN-0120,Truck,52.10225079312637,790.6638152870025,11.424955429015132,27.483322301770343,Medium
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0121,Coupe,107.08934405908715,143.46834440337975,0.971578420184297,8.097708474191837,Low
Nairobi,Tanzania,Arusha,902.0,NAI-TAN-0122,Hybrid,59.58767849463951,134.25079441233075,0.63179974871725,7.454388518464265,Low
Juba,Wau,,647.0,JUB-WAU-0123,Saloon,51.99218652748199,42.00197920340581,1.0953849143023942,8.061726032344483,Medium
Bujumbura,Gitega,,98.9,BUJ-GIT-0124,SUV,94.05245089569348,360.2592361117696,4.30205344688179,12.0015024424481,High
Nairobi,Wau,Juba,1868.0,NAI-WAU-0125,Coupe,80.04895493554419,29.867889663536047,1.063716299452364,15.064757264869012,High
Juba,Wau,,647.0,JUB-WAU-0126,Hybrid,41.89516868953852,234.69093909848556,0.5779569254772086,8.789074347107494,High
Kampala,Bujumbura,,720.0,KAM-BUJ-0127,Coupe,112.54363116705498,175.48413351175626,1.1569043185589134,16.01728083069792,Medium
Nairobi,Wau,Juba,1868.0,NAI-WAU-0128,Hybrid,60.367011552568364,205.55802729916294,0.6201722695770127,11.263716592423695,High
Bujumbura,Gitega,,98.9,BUJ-GIT-0129,Hybrid,72.85554256922418,206.1514647909985,1.1784774267774503,9.505043866375676,Low
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0130,Saloon,81.58415965616679,224.84506609149292,0.6224449730458843,7.48281667192451,High
Kampala,Juba,,653.0,KAM-JUB-0131,Hybrid,54.82619404060878,48.2907232271652,1.8076753498883025,6.53449791150631,Medium
Bujumbura,Kisumu,,1064.0,BUJ-KIS-0132,Coupe,128.55191534914786,74.0102004365103,0.5185414988264392,15.89698507142479,High
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0133,Hybrid,79.52246653005257,129.56697194875335,1.3330453264064468,10.034412447905847,Low
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0134,Saloon,63.70728447987793,298.97349649588773,1.9621897432201747,12.202605490775495,Medium
Nairobi,Wau,Juba,1868.0,NAI-WAU-0135,Saloon,61.972547055748706,210.46390788076158,0.6082976134687638,7.2452200176464485,High
Kigali,Butare,,125.0,KIG-BUT-0136,Coupe,85.46097331067281,97.8983617804701,1.3419270064900566,15.27169069766308,Medium
Juba,Wau,,647.0,JUB-WAU-0137,Truck,77.13532605999904,397.84533411365277,13.45934992546963,25.56558144476904,Medium
Nairobi,Wau,Juba,1868.0,NAI-WAU-0138,Truck,89.3824781868029,128.07643398873773,18.670314961224484,28.6801311285859,Medium
Kampala,Bujumbura,,720.0,KAM-BUJ-0139,Hybrid,66.31692515137543,184.06183849963276,1.2300034121370542,11.113962666571624,High
Nairobi,Wau,Juba,1868.0,NAI-WAU-0140,SUV,114.04211184067552,239.77441709305495,2.4688972903226807,15.923503285933622,Medium
Kigali,Butare,,125.0,KIG-BUT-0141,Hybrid,94.74180073700145,60.55892536135998,1.4344498753452242,9.420921540647644,High
Juba,Wau,,647.0,JUB-WAU-0142,Coupe,113.98678134491686,34.997860174179365,1.1589899576185063,17.09032520665641,Low
Bujumbura,Kisumu,,1064.0,BUJ-KIS-0143,Coupe,80.78098653221451,55.133231735536754,1.4656741128499675,9.809769527094897,High
Nairobi,Bujumbura,,1281.0,NAI-BUJ-0144,Coupe,121.26310560217475,103.53279272512661,0.5966772892838124,16.707499012725116,Low
Kigali,Bujumbura,,273.0,KIG-BUJ-0145,Coupe,96.71831530015993,107.81529724664114,0.7310800432797189,13.929508514349275,High
Nairobi,Dar es Salaam,Mombasa,1012.0,NAI-DAR-0146,Coupe,79.81143235510137,84.30549196383454,1.463294786802345,10.581334327011275,Medium
Juba,Wau,,647.0,JUB-WAU-0147,Saloon,89.40419987247753,111.05321798291456,1.660209688529901,8.046989285746799,High
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0148,Truck,88.49105225392724,417.6526789685475,12.36050463346464,21.10245120995019,Medium
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0149,Coupe,80.18547430525244,108.75705022564335,0.7044038117175435,16.288833658826093,Low
Kigali,Bujumbura,,273.0,KIG-BUJ-0150,SUV,85.85325141970836,161.92142266443346,3.660007453114105,17.067772168854457,High
Nairobi,Dar es Salaam,Mombasa,1012.0,NAI-DAR-0151,SUV,70.02251447405699,125.42864732974294,1.6283499942674005,17.364020150656405,Medium
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0152,SUV,99.8282716573083,263.58389408741624,4.45459657139219,18.056701529500533,Low
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0153,SUV,95.12126186380513,440.72207623096637,2.2204442351286886,11.11919619397728,Low
Juba,Wau,,647.0,JUB-WAU-0154,Saloon,66.18497669101937,35.98431970500816,1.296754292001548,14.492845538359692,High
Kampala,Juba,,653.0,KAM-JUB-0155,SUV,62.36061244011058,104.94946130451206,3.0826965989920234,19.33875017527905,Low
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0156,Coupe,88.96936629860502,106.37461365079456,0.3498874308604705,9.483432009620888,Medium
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0157,Hybrid,99.19780737753081,241.62848714465093,0.5074099714016145,11.662682497962674,Low
Dar es Salaam,Kigali,,1444.0,DAR-KIG-0158,SUV,98.34719626893002,440.56323253400996,3.091589494718507,15.155960285792503,Low
Bujumbura,Kisumu,,1064.0,BUJ-KIS-0159,Saloon,79.3307948154152,206.72199211290922,0.7094768821344694,7.239788718981424,Medium
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0160,Saloon,68.47579649547146,217.31061356626108,0.8027801781844226,12.387459466599338,Low
Juba,Wau,,647.0,JUB-WAU-0161,SUV,118.19472276643623,92.25532210523826,3.854107413787942,14.437502193045711,Low
Nairobi,Tanzania,Arusha,902.0,NAI-TAN-0162,Hybrid,92.08853526265032,52.51594946737262,1.5389389283392467,10.866807027536773,Low
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0163,SUV,116.6768531684414,357.4616127303406,3.2401116740294955,16.17847240201214,Low
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0164,Saloon,102.1342990687231,179.77072905887232,0.5455805895452552,14.447589564055821,Medium
Nairobi,Wau,Juba,1868.0,NAI-WAU-0165,Truck,74.47633755157806,573.5593700440726,12.15675152397717,29.883282053489857,Low
Kampala,Kigali,,511.0,KAM-KIG-0166,Coupe,93.63186433924952,133.73426563788348,0.42791163636958884,14.578453046030361,Medium
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0167,Saloon,109.96482354623998,33.49937088095569,1.965761276331976,10.255263685782964,Low
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0168,SUV,112.24520702023554,402.07346782622307,3.4845569134533374,17.384492092513266,Low
Dar es Salaam,Kigali,,1444.0,DAR-KIG-0169,Coupe,122.71093367808086,86.78666111369627,0.6924397938758864,14.675933855635847,Low
Nairobi,Arusha,,274.0,NAI-ARU-0170,SUV,108.47075651647552,393.0283106494771,4.292347771005221,14.35583314812933,Low
Bujumbura,Dar es Salaam,,1496.0,BUJ-DAR-0171,SUV,109.0700529705013,104.09407491677379,3.4057118428629733,10.057586604981216,Medium
Nairobi,Bujumbura,,1281.0,NAI-BUJ-0172,Truck,56.22929149501351,356.5230744099785,13.961726916092553,30.432008100347932,Medium
Nairobi,Tanzania,Arusha,902.0,NAI-TAN-0173,Coupe,93.31348607622074,95.25178829828083,0.5850529570491929,11.7325179162934,Medium
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0174,Coupe,83.6361776357891,23.907225516004292,1.0241383120576535,14.682127985550164,High
Bujumbura,Kisumu,,1064.0,BUJ-KIS-0175,Truck,70.97451730048073,424.44583066040065,13.797857801792297,32.95000474357738,Low
Kampala,Kigali,,511.0,KAM-KIG-0176,Saloon,81.14490710817309,154.17092573632468,0.5384630987096535,9.72998262100925,Low
Nairobi,Wau,Juba,1868.0,NAI-WAU-0177,SUV,82.81173712715142,229.47025140360523,3.530603292295663,15.336025467268785,Medium
Kigali,Bujumbura,,273.0,KIG-BUJ-0178,Hybrid,76.47430556760668,193.5719827701108,1.7194786080741402,10.02686153358546,High
Kampala,Juba,,653.0,KAM-JUB-0179,SUV,117.33142175729608,58.204662204362734,2.1852229498924114,10.075628749781421,Low
Nairobi,Wau,Juba,1868.0,NAI-WAU-0180,SUV,98.84848284927618,454.1137470274941,2.3521880380170472,19.270345447963066,Medium
Kigali,Butare,,125.0,KIG-BUT-0181,Saloon,53.61604341737365,281.642087505544,1.0274340308594516,7.811366627593732,Low
Kigali,Butare,,125.0,KIG-BUT-0182,SUV,89.15230555117954,165.54945547422858,2.49705515686673,13.072899649262865,Low
Kampala,Kigali,,511.0,KAM-KIG-0183,Truck,80.15129489163317,477.41289367267814,13.113076991560035,29.155006749663777,Medium
Nairobi,Bujumbura,,1281.0,NAI-BUJ-0184,Truck,75.80753371115968,290.83680051347363,14.135491015253514,21.828291400054212,Medium
Nairobi,Bujumbura,,1281.0,NAI-BUJ-0185,Coupe,80.86896097208081,139.41239225334672,0.5177260172347523,13.251633836670601,Low
Nairobi,Bujumbura,,1281.0,NAI-BUJ-0186,Hybrid,82.54277570334597,35.65046154273852,1.3509683294433552,6.795939485909546,Low
Kigali,Bujumbura,,273.0,KIG-BUJ-0187,SUV,117.77561251425479,267.5955410239661,4.320973924213053,15.502265421562617,Medium
Nairobi,Arusha,,274.0,NAI-ARU-0188,SUV,62.60475197128915,334.91811901731006,4.8299116977233,16.016118201463314,Low
Bujumbura,Gitega,,98.9,BUJ-GIT-0189,Saloon,99.15133156560742,267.57780973755416,0.8421196579233987,8.696358719265813,Low
Kampala,Juba,,653.0,KAM-JUB-0190,Truck,70.54904944254959,387.7199288646933,18.398613028667203,33.50034685097017,Medium
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0191,Hybrid,61.20528275816309,66.84893415387569,1.6707882728657928,6.923642248836953,Low
Kampala,Juba,,653.0,KAM-JUB-0192,Coupe,119.3568591108207,90.51026819326493,1.1010598791497646,8.955353138346682,Low
Nairobi,Wau,Juba,1868.0,NAI-WAU-0193,Truck,71.19296623382866,416.2373751160604,15.866084631754742,22.52021311617295,High
