City of Origin,Destination City,Stopover City,Vehicle Plate,Distance (km),Vehicle Type,Speed (km/h),Fuel Consumption (L/100km),Traffic Congestion,Adjusted Speed (km/h),Travel Time (hours),Total Fuel Consumption (L),Peak Time,Off-Peak Time,Free-Flow Speed (km/h),Free-Flow Time (hours),Travel Time Index (TTI),Load Weight (pounds)
Bujumbura,Gitega,,BUJ-GIT-0019,98.9,Coupe,97.31972498851613,17.08437547872265,Medium,97.31972498851613,1.0162379724323136,16.8964473484567,1.2892514165703806,0.8833838181307161,130,0.7607692307692309,1.3358031993549115,612.3772958717317
Kisumu,Juba,,KIS-JUB-0020,841.0,Truck,45.224015837697905,30.804018859210935,Medium,45.224015837697905,18.596314025234307,259.061798605964,21.175320029356612,16.51167001175533,90,9.344444444444445,1.990093058586311,938.3608662947508
Kisumu,Kigali,,KIS-KIG-0021,834.0,Hybrid,81.23698026478766,5.670279390643504,High,61.23698026478766,13.619221529111954,47.290130117966825,15.318736629083446,11.717358436664743,100,8.34,1.6330001833467571,623.969012742672
Dar es Salaam,Kigali,,DAR-KIG-0022,1444.0,Coupe,125.35434429434801,13.684722021568195,High,105.35434429434801,13.706126782637732,197.60738599144474,16.81512174308188,12.281660785472528,130,11.107692307692307,1.233931081539408,450.53368430365913
Kampala,Juba,,KAM-JUB-0023,653.0,SUV,81.82353126814105,17.565385834953066,Medium,81.82353126814105,7.98058932289388,114.70196950224351,10.062922286689643,6.779166274961899,120,5.441666666666666,1.4665707790922904,1023.3179725414218
Lamu Port,Bujumbura,Arusha,LAM-BUJ-0024,1868.0,SUV,75.44192750409805,16.935098370463205,Medium,75.44192750409805,24.760767146339536,316.3476375602527,32.00934850175666,20.608498172738585,120,15.566666666666666,1.590627439807679,1641.8477195571402
Dar es Salaam,Kigali,,DAR-KIG-0025,1444.0,Saloon,52.38267245433483,13.715264300874175,Low,72.38267245433482,19.949525916040177,198.0484165046231,21.97159503938087,16.73106311164897,110,13.127272727272727,1.5197007276761907,666.073255909498
Nairobi,Arusha,,NAI-ARU-0026,902.0,Saloon,76.89025082127911,12.093543314863535,High,56.89025082127911,15.855089175711944,109.08376070006909,18.752378768967592,13.952737948789379,110,8.2,1.9335474604526763,499.956060532831
Nairobi,Arusha,,NAI-ARU-0027,902.0,Truck,51.061890990334184,30.156105689876718,High,31.061890990334184,29.03879870934721,272.008073322688,36.20550357415725,24.293906338486888,90,10.022222222222222,2.8974411129060407,1003.7962095909496
Kisumu,Nairobi,,KIS-NAI-0028,341.0,Coupe,116.3344165535966,12.732131868843988,Low,136.3344165535966,2.501202620879989,43.416569672757994,3.165801820947792,2.1316275083363365,130,2.623076923076923,0.9535376560539547,779.8005664920386
Nairobi,Kigali,Arusha,NAI-KIG-0029,1354.0,Coupe,107.06361544370766,12.563259238223985,Medium,107.06361544370766,12.64668668612178,170.10653008555278,14.068897530322559,9.399042670796577,130,10.415384615384616,1.214231365728088,603.7062760557097
Kisumu,Juba,,KIS-JUB-0030,841.0,Saloon,103.64548215547073,10.982953444114553,Medium,103.64548215547073,8.114198347193557,92.3666384650034,10.030146423695264,7.161022839203985,110,7.6454545454545455,1.0613101286460063,682.0354333443007
Kisumu,Kigali,,KIS-KIG-0031,834.0,Coupe,120.50852254172914,16.013520582702483,Medium,120.50852254172914,6.920672350880464,133.5527616597387,8.012669624488893,5.463473909635779,130,6.415384615384616,1.0787618772355638,610.2579455206273
Nairobi,Dar es Salaam,Mombasa,NAI-DAR-0032,1012.0,Coupe,94.6302892809014,10.30084491857475,Medium,94.6302892809014,10.694250304952257,104.24455057597646,11.923227046466842,7.830474084013002,130,7.7846153846153845,1.3737673316638275,444.64672574723875
Lamu Port,Arusha,,LAM-ARU-0033,690.0,SUV,84.36492795358626,18.2621737577522,Low,104.36492795358626,6.611416435863019,126.00899892849019,7.919290249016489,5.685536741623361,120,5.75,1.1498115540631337,1724.024451328067
Dar es Salaam,Arusha,,DAR-ARU-0034,630.0,Saloon,63.65795214916354,11.195490766861994,High,43.65795214916354,14.43036077018721,70.53159183123056,16.329838807095346,11.129828503214949,110,5.7272727272727275,2.5195868011437987,488.0185863066965
Nairobi,Kampala,Kisumu,NAI-KAM-0035,663.0,Hybrid,88.36580487764485,7.474342325898652,High,68.36580487764485,9.697830679922214,49.55488962070806,12.097088571912822,7.145592730620389,100,6.63,1.4627195595659448,850.0192105436817
Kisumu,Wau,,KIS-WAU-0036,1488.0,Saloon,88.53257822016184,8.965052592390517,Medium,88.53257822016184,16.80737226808936,133.3999825747709,20.979842098030815,12.626542312924474,110,13.527272727272727,1.2424804768076811,475.9941685308696
Nairobi,Kisumu,,NAI-KIS-0037,341.0,Hybrid,46.55676672208959,10.560689575649995,Low,66.55676672208959,5.123445996465828,36.011951452966485,6.498648339968049,3.622224040258503,100,3.41,1.5024768318081607,721.795885209263
Kisumu,Nairobi,,KIS-NAI-0038,341.0,SUV,65.93811740452242,12.713813950795846,Medium,65.93811740452242,5.171515557655461,43.35410557221383,6.079187579286031,3.7137925235416795,120,2.841666666666667,1.8198881727819802,1662.218488880405
Nairobi,Kigali,Arusha,NAI-KIG-0039,1354.0,Truck,82.75547109987201,25.19703930618001,Medium,82.75547109987201,16.36145601015247,341.16791220567734,18.041155143546366,13.392259914816394,90,15.044444444444444,1.0875413891534138,1414.7556339080113
Kisumu,Kigali,,KIS-KIG-0040,834.0,Coupe,128.38272097084968,17.797343347738597,Low,148.38272097084968,5.620600529113106,148.42984352013988,6.474634972555875,4.908153246962155,130,6.415384615384616,0.8761127923077983,533.8704086532814
Juba,Wau,,JUB-WAU-0041,647.0,SUV,76.0965612272134,10.409782222498905,Low,96.0965612272134,6.732811161371478,67.3512909795679,8.036029843905414,5.316941927669271,120,5.391666666666667,1.2487439557412323,1357.429295203187
Kampala,Kigali,,KAM-KIG-0042,511.0,Coupe,112.30379705232275,12.509865026483437,High,92.30379705232275,5.536066947607125,63.925410285330365,6.858092223416184,4.56842682109815,130,3.9307692307692306,1.4083927655360593,466.10986224729436
Nairobi,Bujumbura,,NAI-BUJ-0043,1281.0,Truck,45.03764219797881,30.61284228467064,High,30.0,42.7,392.1505096666309,50.23262660176478,36.80512068449809,90,14.233333333333333,3.0000000000000004,1564.8961915397103
Nairobi,Arusha,,NAI-ARU-0044,902.0,Truck,41.55874545559606,33.05295035738363,Medium,41.55874545559606,21.70421628736971,298.13761222360034,26.20153998185444,16.74162932059703,90,10.022222222222222,2.1656091639282415,1366.941874998931
Kigali,Bujumbura,,KIG-BUJ-0045,273.0,SUV,68.31915174679823,11.27311878746725,Medium,68.31915174679823,3.9959512526118877,30.775614289785594,4.8145327256715715,3.3200873026327207,120,2.275,1.7564620890601705,1202.5070408545832
Nairobi,Arusha,,NAI-ARU-0046,902.0,Truck,48.78361489842923,34.403995377380994,High,30.0,30.066666666666666,310.3240383039766,34.06542719414135,23.15393365375627,90,10.022222222222222,3.0,1054.3476761234224
Nairobi,Bujumbura,,NAI-BUJ-0047,1281.0,Hybrid,81.59016161523076,10.609600748245457,Low,101.59016161523076,12.609488750020336,135.9089855850243,15.441704757415314,10.447504532106983,100,12.81,0.9843472872771535,619.3193747776402
Nairobi,Kisumu,,NAI-KIS-0048,341.0,Truck,59.88174928663765,25.04469091257433,Medium,59.88174928663765,5.69455642265435,85.40239601187847,6.7642808149226,4.23402538392567,90,3.7888888888888888,1.5029621056858988,1429.2156394028834
Dar es Salaam,Arusha,,DAR-ARU-0049,630.0,Coupe,84.0690404069902,12.806480283124088,Medium,84.0690404069902,7.493840740302022,80.68082578368175,9.454107630591297,6.711243445942319,130,4.846153846153846,1.5463480892686714,573.8457001645644
Dar es Salaam,Arusha,,DAR-ARU-0050,630.0,Coupe,103.10972401205011,14.317748436527554,Low,123.10972401205011,5.117386177702217,90.20181515012358,6.335949645601451,3.6601365363634426,130,4.846153846153846,1.0559685763512512,532.0868884177698
Kampala,Kigali,,KAM-KIG-0051,511.0,Coupe,85.42711023992167,17.486540809029904,Medium,85.42711023992167,5.981707663584296,89.35622353414281,6.71323364700901,4.79162640608573,130,3.9307692307692306,1.5217651590331869,762.088698816087
Kigali,Bujumbura,,KIG-BUJ-0052,273.0,Coupe,80.18550989242814,17.656531747664125,Low,100.18550989242814,2.7249449575405404,48.20233167112306,3.2638074062715305,2.0634898637000187,130,2.1,1.2975928369240668,460.08717902858416
Lamu Port,Bujumbura,Arusha,LAM-BUJ-0053,1868.0,Hybrid,40.891367350450224,8.367879842717919,High,30.0,62.266666666666666,156.31199546197072,77.24172974444762,51.06910050290964,100,18.68,3.3333333333333335,631.9177470319738
Nairobi,Kisumu,,NAI-KIS-0054,341.0,Saloon,70.00207028699377,10.592987311442005,High,50.00207028699377,6.819717624546014,36.12208673201724,7.620368467006715,5.357988869105113,110,3.1,2.199908911143875,605.1445706159325
Nairobi,Kigali,Arusha,NAI-KIG-0055,1354.0,SUV,94.23987473884733,14.35589158012709,High,74.23987473884733,18.23817732401824,194.37877199492078,22.952735338125283,13.885328400013586,120,11.283333333333333,1.6163820375791644,1102.3700498548699
Kampala,Juba,,KAM-JUB-0056,653.0,Coupe,94.89081101809569,15.327234154133066,High,74.89081101809569,8.719360775011733,100.08683902648892,9.978444343886085,6.5395862176123725,130,5.023076923076923,1.7358604911968227,634.161216488442
Kisumu,Kigali,,KIS-KIG-0057,834.0,Truck,74.29381375432322,32.499069230537714,High,54.293813754323224,15.3608660421942,271.04223738268456,18.442516276640823,11.313273582651068,90,9.266666666666667,1.6576474146252733,1280.8248892023446
Kampala,Juba,,KAM-JUB-0058,653.0,Coupe,84.99753887436974,14.095285097540636,Medium,84.99753887436974,7.682575385684566,92.04221168694035,9.896019523426034,6.580708642881866,130,5.023076923076923,1.529456049217448,421.8995889934465
Dar es Salaam,Arusha,,DAR-ARU-0059,630.0,Truck,69.2597392696427,25.54606716309033,High,49.259739269642694,12.789349057481719,160.9402231274691,15.529682554756175,9.520902851445426,90,7.0,1.8270498653545313,915.6232512518594
Lamu Port,Arusha,,LAM-ARU-0060,690.0,Truck,64.30287709513405,24.706732149585932,Medium,64.30287709513405,10.73046854465263,170.4764518321429,12.713575990163719,9.171387684992151,90,7.666666666666667,1.3996263319112126,958.823005103476
Nairobi,Kisumu,,NAI-KIS-0061,341.0,Coupe,78.51066385701911,10.138012106627329,Medium,78.51066385701911,4.343359019623339,34.570621283599195,4.783597483427024,3.4616906773235536,130,2.623076923076923,1.6558260192112435,428.1312274060081
Nairobi,Kampala,Kisumu,NAI-KAM-0062,663.0,Hybrid,46.330818784072065,9.781487026330868,Low,66.33081878407206,9.995353776021913,64.85125898457366,11.261592425257634,7.141136568414792,100,6.63,1.507594838012355,562.3809946496565
Kisumu,Kampala,,KIS-KAM-0063,324.0,Truck,73.03636965545758,34.25909557369809,Medium,73.03636965545758,4.436146012301002,110.99946965878182,5.393168110799111,3.2520877835583053,90,3.6,1.2322627811947227,991.7211111884981
Kisumu,Wau,,KIS-WAU-0064,1488.0,Truck,76.48392068236205,20.780687581341972,Medium,76.48392068236205,19.455069597957305,309.2166312103685,23.322056664779552,17.092853117717446,90,16.533333333333335,1.1767179192312884,1076.4964859102151
Kisumu,Juba,,KIS-JUB-0065,841.0,Coupe,123.05471043573725,16.62675162945726,High,103.05471043573725,8.1607138232117,139.83098120373555,9.570606362130633,6.696381158545787,130,6.469230769230769,1.2614658704132233,716.5236048250268
Kampala,Kigali,,KAM-KIG-0066,511.0,Truck,62.166016038634936,28.787945757918823,High,42.166016038634936,12.118764066583676,147.10640282296518,15.568287572764737,8.929912907122873,90,5.677777777777778,2.134420285699669,974.3240631114599
Bujumbura,Gitega,,BUJ-GIT-0067,98.9,Truck,88.80391662362595,27.984565457722493,Low,108.80391662362595,0.9089746313279738,27.67673523768755,1.060315732836718,0.7642231327968239,90,1.098888888888889,0.8271761053540712,1336.0206651546787
Dar es Salaam,Kigali,,DAR-KIG-0068,1444.0,Coupe,124.31930970256539,8.830387578101865,Low,144.3193097025654,10.005591095024007,127.51079662779094,12.081052369598922,8.65135784230233,130,11.107692307692307,0.9007803617403884,423.15240783388975
Kigali,Bujumbura,,KIG-BUJ-0069,273.0,Coupe,81.46311212252097,12.407549434413179,Medium,81.46311212252097,3.3512100493951973,33.87260995594798,4.067506672979332,2.567464664769061,130,2.1,1.5958143092358081,663.2963705214963
Kampala,Kigali,,KAM-KIG-0070,511.0,SUV,95.08540850023829,18.162278518628,Low,115.08540850023829,4.44018061593744,92.80924323018908,5.352609661747496,3.6024030861253484,120,4.258333333333334,1.0427038628424516,1570.3793049483068
Lamu Port,Bujumbura,Arusha,LAM-BUJ-0071,1868.0,Hybrid,99.2957269085912,7.721960475318815,High,79.2957269085912,23.55738540808576,144.24622167895546,28.16325657565067,17.872752595250265,100,18.68,1.2611020025741841,802.4039744223151
Kisumu,Nairobi,,KIS-NAI-0072,341.0,Hybrid,42.84493816840509,10.608200523067275,High,30.0,11.366666666666667,36.1739637836594,13.269591559867072,8.1386736382848,100,3.41,3.3333333333333335,600.6961451874417
Dar es Salaam,Kigali,,DAR-KIG-0073,1444.0,Truck,70.21903595414041,22.978142883023025,High,50.21903595414041,28.754036642970373,331.80438323085247,36.855564868111436,22.42532538216869,90,16.044444444444444,1.792149098246076,1064.326411089925
Kisumu,Kampala,,KIS-KAM-0074,324.0,Hybrid,69.68970739728522,10.196171718736071,Medium,69.68970739728522,4.649180088430412,33.035596368704866,5.533271206947473,3.953134618116886,100,3.24,1.434932126058769,902.590674430631
Dar es Salaam,Nairobi,Mombasa,DAR-NAI-0075,822.0,Truck,78.52058935343219,27.49427617998143,Medium,78.52058935343219,10.468591827553187,226.00295019944735,12.62187410910428,8.288361603093158,90,9.133333333333333,1.146196185498524,1145.577513993005
Lamu Port,Nairobi,,LAM-NAI-0076,697.0,SUV,78.31287180773154,19.737425820384935,Low,98.31287180773154,7.089610822915524,137.569857968083,8.729406589040806,5.537367485131256,120,5.808333333333334,1.220592968077278,1098.330316937326
Bujumbura,Dar es Salaam,,BUJ-DAR-0077,1496.0,Coupe,109.80175665738957,12.082375193462987,High,89.80175665738957,16.658916881854758,180.75233289420626,18.55022384752467,12.880698484705777,130,11.507692307692308,1.4476331514980738,773.0766146302157
Kigali,Bujumbura,,KIG-BUJ-0078,273.0,Coupe,86.82779345227914,15.311029830035622,Medium,86.82779345227914,3.1441545286998656,41.79911143599725,3.9498681112100855,2.4894892513485094,130,2.1,1.4972164422380312,654.9419426442363
Kigali,Bujumbura,,KIG-BUJ-0079,273.0,Coupe,84.53100673562606,9.717099889736883,Medium,84.53100673562606,3.2295841554782125,26.52768269898169,3.883579668670158,2.466258345159167,130,2.1,1.537897216894387,722.2858842192879
Nairobi,Kampala,Kisumu,NAI-KAM-0080,663.0,Hybrid,71.79003333772422,7.029911748508993,Low,91.79003333772422,7.223006419015186,46.60831489261463,8.89466570612409,5.940466567204253,100,6.63,1.089442898795654,512.2509424531523
Kigali,Bujumbura,,KIG-BUJ-0081,273.0,SUV,97.7343086954169,11.179386748742335,High,77.7343086954169,3.5119627945709855,30.519725824066573,4.4054146041666415,2.5030222272179277,120,2.275,1.5437199097015322,1171.9195102677124
Nairobi,Kigali,Arusha,NAI-KIG-0082,1354.0,Hybrid,79.29646627403929,6.983075695983915,High,59.29646627403929,22.834412994232636,94.55084492362221,29.109763590999346,19.671336095793865,100,13.54,1.6864411369448034,729.4484511914985
Lamu Port,Nairobi,,LAM-NAI-0083,697.0,Hybrid,40.01457606607077,5.888552403719235,Low,60.01457606607077,11.613845263735003,41.043210253923064,13.686267236462298,8.53191851042095,100,6.97,1.6662618742804882,793.7107770678815
Dar es Salaam,Nairobi,Mombasa,DAR-NAI-0084,822.0,SUV,116.01692267010564,18.67354639115358,Low,136.01692267010566,6.043365662621791,153.49655133528242,7.628455739096135,4.995983587857051,120,6.85,0.8822431624265389,1041.2254006613646
Kampala,Kigali,,KAM-KIG-0085,511.0,SUV,74.01654192217421,17.783719045454912,Low,94.01654192217421,5.43521373529139,90.8748043222746,6.260101878816523,4.2936911484161895,120,4.258333333333334,1.2763711315752773,1310.7093586292856
Lamu Port,Arusha,,LAM-ARU-0086,690.0,SUV,96.51429559043845,19.709047114498695,Low,116.51429559043845,5.922020096361666,135.992425090041,7.296326305060551,5.0615429332576385,120,5.75,1.029916538497681,1474.9221967284766
Nairobi,Dar es Salaam,Mombasa,NAI-DAR-0087,1012.0,SUV,82.41633957204354,16.814606125171714,High,62.41633957204354,16.21370312547578,170.16381398673772,18.168126574431092,14.028549885113264,120,8.433333333333334,1.9225734931394207,1177.641549605521
Nairobi,Arusha,,NAI-ARU-0088,902.0,Coupe,73.81214334543512,11.96247346816406,High,53.81214334543512,16.762015855971597,107.90151068283981,18.50536764408173,12.417973074454409,130,6.938461538461539,2.4158115978673034,676.5768812152237
Juba,Wau,,JUB-WAU-0089,647.0,Saloon,107.82905967129082,11.311846995600964,Low,127.82905967129082,5.061446917185686,73.18765006153825,5.664531604792832,4.228514103666232,110,5.881818181818182,0.8605242053947842,625.3443181673283
Nairobi,Arusha,,NAI-ARU-0090,902.0,Saloon,67.27277020009068,7.962167705028855,Medium,67.27277020009068,13.408099552272997,71.81875269936027,15.605371942516733,9.894929437883633,110,8.2,1.6351340917406096,661.2585310672986
Nairobi,Kisumu,,NAI-KIS-0091,341.0,SUV,102.21170041089182,16.448560434297267,Medium,102.21170041089182,3.3362129641633724,56.08959108095368,3.6905819113312095,2.418085995980571,120,2.841666666666667,1.1740338876821252,992.5062880007333
Kisumu,Juba,,KIS-JUB-0092,841.0,Saloon,72.43632281622648,14.607530814926674,High,52.43632281622648,16.038500696310297,122.84933415353333,19.664777707539923,14.21106142166149,110,7.6454545454545455,2.0977824929775655,743.073554727812
Dar es Salaam,Nairobi,Mombasa,DAR-NAI-0093,822.0,Saloon,51.33216877927102,9.429790813054606,High,31.332168779271022,26.235017620096095,77.51288048330885,30.519429690506488,19.227062365983237,110,7.472727272727273,3.5107687812780664,550.9240596105175
Juba,Wau,,JUB-WAU-0094,647.0,SUV,115.26416917797488,13.209354383194404,Low,135.26416917797488,4.7832327210667644,85.4645228592678,5.966007613593741,3.5665045296767204,120,5.391666666666667,0.8871529003524138,1600.243862916206
Dar es Salaam,Arusha,,DAR-ARU-0095,630.0,Saloon,65.13517003131022,11.273763279449978,Medium,65.13517003131022,9.672193988242626,71.02470866053486,10.728233408066133,7.022639608699934,110,5.7272727272727275,1.6887957757249028,699.0495169711306
Lamu Port,Arusha,,LAM-ARU-0096,690.0,Hybrid,89.42810499523227,5.7220273261485275,High,69.42810499523227,9.938338372441294,39.48198855042484,11.362902908522852,7.891620846786556,100,6.9,1.440338894556709,780.1283748076023
Nairobi,Dar es Salaam,Mombasa,NAI-DAR-0097,1012.0,Truck,87.1510354822868,31.926093217717458,Medium,87.1510354822868,11.612024967915454,323.09206336330067,13.720776657091697,10.264118115507038,90,11.244444444444444,1.0326899675023626,1529.981217930967
Lamu Port,Arusha,,LAM-ARU-0098,690.0,Truck,49.062512777577595,30.680119417972442,Low,69.0625127775776,9.990948377772044,211.69282398400983,11.754653616659978,7.52129731530613,90,7.666666666666667,1.303167179709397,933.922169047589
Kisumu,Nairobi,,KIS-NAI-0099,341.0,SUV,83.09752335825343,14.022946780763187,High,63.097523358253426,5.404332560945052,47.81824852240246,6.086357895649562,4.368702615346705,120,2.841666666666667,1.901817910009989,1338.9553431429579
Bujumbura,Gitega,,BUJ-GIT-0100,98.9,Coupe,116.99740554633198,17.627848079807322,High,96.99740554633198,1.0196149004496748,17.433941750929442,1.3243037321373259,0.79763632216677,130,0.7607692307692309,1.340242032946994,552.882004178355
Kisumu,Kigali,,KIS-KIG-0101,834.0,SUV,67.59935237083164,14.206302368788194,Medium,67.59935237083164,12.337396302628806,118.48056175569354,14.272984699471818,9.465273664430521,120,6.95,1.7751649356300438,1720.5335657122175
Kisumu,Kampala,,KIS-KAM-0102,324.0,Coupe,98.85649648505822,11.763118169549976,Medium,98.85649648505822,3.2774780770120797,38.112502869341924,4.077859254766786,2.6692782343724213,130,2.4923076923076923,1.315037500035711,717.0856187392202
Nairobi,Dar es Salaam,Mombasa,NAI-DAR-0103,1012.0,Truck,58.15945618581125,20.784030013423948,High,38.15945618581125,26.520294080508666,210.33438373585034,30.339358031683094,21.528606676057173,90,11.244444444444444,2.3585241771203362,1406.000691703243
Kigali,Bujumbura,,KIG-BUJ-0104,273.0,SUV,101.13231723375739,14.362144171200454,Medium,101.13231723375739,2.6994338453551636,39.20865358737724,3.44331748377468,2.083620964811917,120,2.275,1.1865643276286435,1053.6061866178534
Nairobi,Kisumu,,NAI-KIS-0105,341.0,Hybrid,51.687628158635604,10.712234516114478,Medium,51.687628158635604,6.597323424348852,36.52871969995037,7.768689163291038,5.740414629109502,100,3.41,1.9346989514219508,618.6616229241781
Nairobi,Arusha,,NAI-ARU-0106,902.0,Saloon,98.15364488909768,10.89113302471115,Low,118.15364488909768,7.6341275874023395,98.23801988289456,9.773061255092804,5.425073842111833,110,8.2,0.9309911691954074,463.13137232632295
Bujumbura,Dar es Salaam,,BUJ-DAR-0107,1496.0,Coupe,87.90703966886564,14.380927257964524,Medium,87.90703966886564,17.017977236353733,215.1386717791493,19.883242736173454,12.202701079171726,130,11.507692307692308,1.4788349202713806,655.4141447769823
Bujumbura,Dar es Salaam,,BUJ-DAR-0108,1496.0,Saloon,67.28912814664419,8.888063442589697,High,47.28912814664419,31.63517828793301,132.96542910114186,34.8533858835551,28.413333162231236,110,13.6,2.3261160505833094,616.8759218271814
Lamu Port,Bujumbura,Arusha,LAM-BUJ-0109,1868.0,Saloon,93.8308792415796,7.322601917767606,Low,113.8308792415796,16.410309860082904,136.78620382389886,19.74823394168943,13.941158554827826,110,16.98181818181818,0.9663458697050962,590.4183124684498
Kisumu,Nairobi,,KIS-NAI-0110,341.0,SUV,65.68610826207563,10.067881740235897,High,45.686108262075635,7.463975658505948,34.331476734204415,8.993774100618415,6.424884114228491,120,2.841666666666667,2.626619000060744,1432.4023223220418
Kigali,Bujumbura,,KIG-BUJ-0111,273.0,Saloon,59.17659118852557,7.551920069683676,Low,79.17659118852558,3.4479888045440843,20.616741790236432,3.8754250691298737,2.82921347509391,110,2.481818181818182,1.389299518314466,822.9094268654453
Nairobi,Dar es Salaam,Mombasa,NAI-DAR-0112,1012.0,Hybrid,99.74814206679511,7.0216697896786275,Low,119.74814206679511,8.451070576406186,71.05929827154772,9.693316382417013,6.625403422002246,100,10.12,0.8350860253365797,566.5147729965964
Kampala,Juba,,KAM-JUB-0113,653.0,Saloon,58.95608076015483,8.927970063967344,Medium,58.95608076015483,11.076041547886044,58.29964451770675,13.91925164633364,9.147097693897368,110,5.9363636363636365,1.865795666565796,863.3976542576856
